127.0.0.1 - - [11/Apr/2023:16:09:18 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:21 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/s7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:22 -0400] "GET /projectseries1/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:23 -0400] "GET /projectseries1/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:23 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:37 -0400] "GET /projectseries1/customer-registration.jsp HTTP/1.1" 200 8403
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:09:44 -0400] "GET /projectseries1/seller-login.jsp HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:10:26 -0400] "POST /projectseries1/SellerController HTTP/1.1" 200 3511
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:10:37 -0400] "GET /projectseries1/seller-manage-product.jsp HTTP/1.1" 200 5395
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:10:49 -0400] "GET /projectseries1/seller-profile.jsp HTTP/1.1" 200 4251
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:07 -0400] "POST /projectseries1/SellerController HTTP/1.1" 200 3513
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:26 -0400] "GET /projectseries1/seller-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:26 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:32 -0400] "GET /projectseries1/customer-login.jsp HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:35 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:35 -0400] "GET /projectseries1/image/revolt-164_6wVEHfI-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:35 -0400] "GET /projectseries1/image/jakob-owens-JzJSybPFb3s-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:40 -0400] "GET /projectseries1/single-product.jsp?id=2 HTTP/1.1" 200 4777
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:44 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:55 -0400] "GET /projectseries1/customer-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:11:55 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:12:00 -0400] "GET /projectseries1/admin-login.jsp HTTP/1.1" 200 8133
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:12:44 -0400] "POST /projectseries1/AdminController HTTP/1.1" 200 23622
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:12:44 -0400] "GET /projectseries1/images/in4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:12:44 -0400] "GET /projectseries1/images/in1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:12:44 -0400] "GET /projectseries1/images/in2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:12:44 -0400] "GET /projectseries1/images/in3.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:29 -0400] "POST /projectseries1/AdminController HTTP/1.1" 200 23657
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:30 -0400] "GET /projectseries1/images/in4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:30 -0400] "GET /projectseries1/images/in1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:30 -0400] "GET /projectseries1/images/in2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:30 -0400] "GET /projectseries1/images/in3.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:55 -0400] "POST /projectseries1/AdminController HTTP/1.1" 200 23654
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:56 -0400] "GET /projectseries1/images/in4.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:56 -0400] "GET /projectseries1/images/in1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:56 -0400] "GET /projectseries1/images/in2.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [11/Apr/2023:16:19:56 -0400] "GET /projectseries1/images/in3.jpg HTTP/1.1" 404 788
