0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:28 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:30 -0400] "GET /projectseries1/customer-login.jsp HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:40 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:40 -0400] "GET /projectseries1/image/revolt-164_6wVEHfI-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:22:40 -0400] "GET /projectseries1/image/jakob-owens-JzJSybPFb3s-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:37:18 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:37:27 -0400] "GET /projectseries1/single-product.jsp?id=1 HTTP/1.1" 200 13148
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:37:27 -0400] "GET /projectseries1/images/d1.jpg HTTP/1.1" 200 30949
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:37:27 -0400] "GET /projectseries1/images/s10.jpg HTTP/1.1" 200 40144
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:37:27 -0400] "GET /projectseries1/images/s11.jpg HTTP/1.1" 200 35752
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:37:27 -0400] "GET /projectseries1/images/s12.jpg HTTP/1.1" 200 32277
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:38:34 -0400] "GET /projectseries1/single-product.jsp?id=1 HTTP/1.1" 200 9691
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:38:59 -0400] "GET /projectseries1/single-product.jsp?id=1 HTTP/1.1" 200 7739
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:39:39 -0400] "GET /projectseries1/single-product.jsp?id=1 HTTP/1.1" 200 6424
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:59:01 -0400] "GET /projectseries1/single-product.jsp?id=1 HTTP/1.1" 200 5237
0:0:0:0:0:0:0:1 - - [29/Mar/2023:17:59:32 -0400] "GET /projectseries1/single-product.jsp?id=1 HTTP/1.1" 200 5150
