0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/s5.jpg HTTP/1.1" 200 33199
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/s7.jpg HTTP/1.1" 200 24682
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/s8.jpg HTTP/1.1" 200 28289
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/s6.jpg HTTP/1.1" 200 26524
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/s9.jpg HTTP/1.1" 200 27765
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/img1.jpg HTTP/1.1" 200 45072
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/img2.jpg HTTP/1.1" 200 34733
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:57 -0400] "GET /projectseries1/images/img3.jpg HTTP/1.1" 200 37247
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:58 -0400] "GET /projectseries1/images/banner.jpg HTTP/1.1" 200 106031
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:58 -0400] "GET /projectseries1/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:52:58 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:02 -0400] "GET /projectseries1/customer-login.jsp HTTP/1.1" 200 8306
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:18 -0400] "POST /projectseries1/CustomerController HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:19 -0400] "GET /projectseries1/image/revolt-164_6wVEHfI-unsplash.jpg HTTP/1.1" 200 2205406
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:19 -0400] "GET /projectseries1/image/jakob-owens-JzJSybPFb3s-unsplash.jpg HTTP/1.1" 200 542583
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:27 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:34 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:34 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5826
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:38 -0400] "POST /projectseries1/pgRedirect.jsp HTTP/1.1" 500 4447
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:44 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:44 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:45 -0400] "POST /projectseries1/CartController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:45 -0400] "GET /projectseries1/customer-cart.jsp HTTP/1.1" 200 5825
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:50 -0400] "GET /projectseries1/customer-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:53:50 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
0:0:0:0:0:0:0:1 - - [04/Apr/2023:17:54:17 -0400] "GET /projectseries1/index.jsp HTTP/1.1" 200 22592
